blank,,bm3,,dmso_1.0,,dmso_2.0,,Palmitic_acid_0.2,,Palmitic_acid_0.4,,Palmitic_acid_0.6,,Palmitic_acid_0.8,,Palmitic_acid_1.0,,Palmitic_acid_2.0,,Palmitic_acid_3.0,,Palmitic_acid_4.0,,Palmitic_acid_5.0,,Palmitic_acid_6.0,,Palmitic_acid_7.0,,Palmitic_acid_8.0,,Palmitic_acid_9.0,,Palmitic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.9532471,0.002263533184,770.9532471,0.002275269013,770.9532471,0.002369791036,770.9532471,0.006544894539,770.9532471,0.004753918853,770.9532471,0.005967218895,770.9532471,0.004855552223,770.9532471,0.01038163342,770.9532471,0.009845172055,770.9532471,0.01087583695,770.9532471,0.02038461156,770.9532471,0.02205522731,770.9532471,0.02317598276,770.9532471,0.03609453887,770.9532471,0.04160554335,770.9532471,0.04327149689,770.9532471,0.04953169078,770.9532471,0.05084018409,
769.9690552,-0.001486878609,769.9690552,0.0007839907194,769.9690552,0.002969777212,769.9690552,0.004456117749,769.9690552,0.004241716582,769.9690552,0.001499233767,769.9690552,0.00602026144,769.9690552,0.008124637417,769.9690552,0.007454101462,769.9690552,0.01407498866,769.9690552,0.02020428888,769.9690552,0.01971306652,769.9690552,0.02546296269,769.9690552,0.03530550003,769.9690552,0.0387619473,769.9690552,0.04589158297,769.9690552,0.04320832714,769.9690552,0.05041996762,
768.9845581,0.001624063938,768.9845581,0.005638530944,768.9845581,0.007216343191,768.9845581,0.002898108214,768.9845581,0.006754178554,768.9845581,0.008501353674,768.9845581,0.006838083267,768.9845581,0.007589111105,768.9845581,0.01193750277,768.9845581,0.01431316137,768.9845581,0.02319881134,768.9845581,0.02523999661,768.9845581,0.02376130223,768.9845581,0.03635171801,768.9845581,0.03626168892,768.9845581,0.05058193207,768.9845581,0.05026489496,768.9845581,0.05198363215,
767.9996948,0.001770190662,767.9996948,0.003458901076,767.9996948,0.002755613299,767.9996948,0.005415341351,767.9996948,0.007458525244,767.9996948,0.004505994264,767.9996948,0.008020074107,767.9996948,0.008808810264,767.9996948,0.00996116735,767.9996948,0.01662694849,767.9996948,0.0143356882,767.9996948,0.02578022517,767.9996948,0.02708261833,767.9996948,0.03512221575,767.9996948,0.04023095593,767.9996948,0.05229293555,767.9996948,0.05317211151,767.9996948,0.05097904801,
767.0144653,-0.0002297031024,767.0144653,-0.001924544689,767.0144653,0.002878824715,767.0144653,0.005066118669,767.0144653,0.002047506627,767.0144653,0.004490353167,767.0144653,0.004996983334,767.0144653,0.006756938994,767.0144653,0.008135239594,767.0144653,0.01640107855,767.0144653,0.02000417188,767.0144653,0.02124385163,767.0144653,0.02296117321,767.0144653,0.03456957638,767.0144653,0.0362858884,767.0144653,0.04064540192,767.0144653,0.04753105715,767.0144653,0.04775210097,
766.0288696,-0.003218304133,766.0288696,-0.001208899077,766.0288696,-0.005936057772,766.0288696,0.001814170857,766.0288696,0.003434191691,766.0288696,5.529595001E-5,766.0288696,0.009466468357,766.0288696,0.006558296736,766.0288696,0.005609528162,766.0288696,0.0117007615,766.0288696,0.01605142653,766.0288696,0.01731706224,766.0288696,0.02479399554,766.0288696,0.02909136191,766.0288696,0.03744560853,766.0288696,0.04028502852,766.0288696,0.04155084863,766.0288696,0.05150999129,
765.0429077,-0.00141752942,765.0429077,6.808543549E-5,765.0429077,-0.002128710272,765.0429077,0.004888902884,765.0429077,0.002663195133,765.0429077,0.007562953979,765.0429077,0.004461138975,765.0429077,0.006225984078,765.0429077,0.006358274724,765.0429077,0.01179621369,765.0429077,0.01987668313,765.0429077,0.02025090717,765.0429077,0.0248960983,765.0429077,0.03029686213,765.0429077,0.04010891542,765.0429077,0.04459786415,765.0429077,0.04677569866,765.0429077,0.04796019197,
764.0565796,0.00158384419,764.0565796,0.001259312616,764.0565796,-6.15007084E-5,764.0565796,0.003423259594,764.0565796,0.003986037802,764.0565796,0.006229739171,764.0565796,0.001641836716,764.0565796,0.007996369153,764.0565796,0.01032699458,764.0565796,0.01572707295,764.0565796,0.02235131152,764.0565796,0.02075723745,764.0565796,0.02576547489,764.0565796,0.03817331046,764.0565796,0.04117555171,764.0565796,0.04608611763,764.0565796,0.05341437086,764.0565796,0.05418917909,
763.0698853,0.0003912873217,763.0698853,0.001465674839,763.0698853,0.003335237969,763.0698853,0.0008058266249,763.0698853,0.004592971411,763.0698853,0.009079345502,763.0698853,0.002093829913,763.0698853,0.006782811135,763.0698853,0.008183931932,763.0698853,0.01428365335,763.0698853,0.02074686624,763.0698853,0.02194159292,763.0698853,0.02575179562,763.0698853,0.03482599184,763.0698853,0.03848268837,763.0698853,0.04745863378,763.0698853,0.0484591797,763.0698853,0.05280561,
761.9417725,-0.0008176922565,761.9417725,0.001439104788,761.9417725,6.156119343E-5,761.9417725,0.00262996275,761.9417725,0.0009127139929,761.9417725,0.004019530956,761.9417725,0.003529540496,761.9417725,0.006023568567,761.9417725,0.007677787915,761.9417725,0.01413592976,761.9417725,0.02018500678,761.9417725,0.02003556117,761.9417725,0.02444434352,761.9417725,0.03390782699,761.9417725,0.03866802156,761.9417725,0.04151809216,761.9417725,0.04834232852,761.9417725,0.0521982573,
