BLANK,,BM3,,dmso_1,,dmso_2,,4PhenylImidazole_0.1,,4PhenylImidazole_0.2,,4PhenylImidazole_0.3,,4PhenylImidazole_0.4,,4PhenylImidazole_0.5,,4PhenylImidazole_0.6,,4PhenylImidazole_0.7,,4PhenylImidazole_0.8,,4PhenylImidazole_0.9,,4PhenylImidazole_1.0,,4PhenylImidazole_2.0,,4PhenylImidazole_3.0,,4PhenylImidazole_4.0,,4PhenylImidazole_5.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.9532471,0.0002461676486,770.9532471,-0.001281791716,770.9532471,0.001921228715,770.9532471,0.002239880618,770.9532471,0.001609357889,770.9532471,0.003265569219,770.9532471,0.008851791732,770.9532471,0.004481617361,770.9532471,0.006222806871,770.9532471,0.01587413065,770.9532471,0.01062574703,770.9532471,0.008103273809,770.9532471,0.006885104347,770.9532471,0.007848897018,770.9532471,0.01044280082,770.9532471,0.006089244969,770.9532471,0.008599537425,770.9532471,0.009437102824,
769.9690552,-0.00394116668,769.9690552,-0.002021743916,769.9690552,0.0007641267148,769.9690552,0.001958125271,769.9690552,0.002786276164,769.9690552,0.001589352149,769.9690552,0.007109919097,769.9690552,0.003805527696,769.9690552,0.004003202077,769.9690552,0.01356877387,769.9690552,0.005785228219,769.9690552,0.005310563371,769.9690552,0.01125486847,769.9690552,0.009193418548,769.9690552,0.008492958732,769.9690552,0.009311170317,769.9690552,0.01216063555,769.9690552,0.006404744927,
768.9845581,-0.001593925059,768.9845581,-0.0005834917538,768.9845581,-0.0008603733731,768.9845581,0.002924142173,768.9845581,-0.0002633357653,768.9845581,0.0001672814542,768.9845581,0.001708048978,768.9845581,0.004440609366,768.9845581,0.003572655143,768.9845581,0.01790764183,768.9845581,0.008340832777,768.9845581,0.004450442735,768.9845581,0.005899094511,768.9845581,0.005903922953,768.9845581,0.007342353929,768.9845581,0.005509946495,768.9845581,0.00847324077,768.9845581,0.008841330186,
767.9996948,0.002971705748,767.9996948,-0.003589487635,767.9996948,0.002267696662,767.9996948,-0.002119539771,767.9996948,0.003474870231,767.9996948,0.003741814755,767.9996948,0.007578337099,767.9996948,0.004962838721,767.9996948,0.003818584839,767.9996948,0.01749888435,767.9996948,0.008420900442,767.9996948,0.008612951264,767.9996948,0.007990278304,767.9996948,0.005452431273,767.9996948,0.00561747374,767.9996948,0.008698931895,767.9996948,0.009440858848,767.9996948,0.01487438008,
767.0144653,-0.00283060153,767.0144653,-0.004496282432,767.0144653,0.0008641302702,767.0144653,-0.0001728838542,767.0144653,0.003501199884,767.0144653,0.002676296048,767.0144653,0.001949804486,767.0144653,0.00102479104,767.0144653,0.002922317944,767.0144653,0.01609534584,767.0144653,0.006919426844,767.0144653,0.005623164121,767.0144653,0.006259387825,767.0144653,0.006265323143,767.0144653,0.008092829958,767.0144653,0.008387277834,767.0144653,0.005699611735,767.0144653,0.007276540622,
766.0288696,0.0003233066236,766.0288696,-0.001137749874,766.0288696,0.0005362481461,766.0288696,-0.0006363284192,766.0288696,0.005906232167,766.0288696,0.003897301387,766.0288696,0.004016996361,766.0288696,0.004045240115,766.0288696,0.003243948333,766.0288696,0.01569711976,766.0288696,0.00607134169,766.0288696,0.004382111132,766.0288696,0.002348839305,766.0288696,0.007841727696,766.0288696,0.005433637183,766.0288696,0.009659748524,766.0288696,0.008933064528,766.0288696,0.009002326988,
765.0429077,-0.003878365504,765.0429077,-0.001759627252,765.0429077,-0.0008312308346,765.0429077,-0.0008061170229,765.0429077,0.001967590535,765.0429077,0.0004258257977,765.0429077,0.006486611441,765.0429077,0.003619976807,765.0429077,0.003885521786,765.0429077,0.01239930559,765.0429077,0.004991850816,765.0429077,0.006508289371,765.0429077,0.00642271433,765.0429077,0.005528350826,765.0429077,0.007199288346,765.0429077,0.008054591715,765.0429077,0.009356000461,765.0429077,0.006269787438,
764.0565796,-0.0006159079494,764.0565796,0.001327387989,764.0565796,0.001320896787,764.0565796,0.001915950561,764.0565796,0.001426976058,764.0565796,0.004646971356,764.0565796,0.003852247959,764.0565796,0.003175441409,764.0565796,0.005603208672,764.0565796,0.01690829359,764.0565796,0.007803379092,764.0565796,0.006318060681,764.0565796,0.008016856387,764.0565796,0.005300265271,764.0565796,0.009083839133,764.0565796,0.008486016653,764.0565796,0.009244899265,764.0565796,0.009873691015,
763.0698853,-0.001657418208,763.0698853,-0.0006468226202,763.0698853,0.006023647264,763.0698853,2.888970084E-5,763.0698853,0.00190204056,763.0698853,0.003465502756,763.0698853,0.00575409038,763.0698853,0.004920842592,763.0698853,0.005040767603,763.0698853,0.01517692115,763.0698853,0.006663534325,763.0698853,0.00699128909,763.0698853,0.005661556497,763.0698853,0.007112971507,763.0698853,0.006216819398,763.0698853,0.004758080002,763.0698853,0.006426549982,763.0698853,0.01007345878,
761.9417725,-0.000886672351,761.9417725,0.001705788076,761.9417725,0.003124700626,761.9417725,0.002670618007,761.9417725,0.002192475135,761.9417725,0.005160097498,761.9417725,0.004785612691,761.9417725,0.004276850261,761.9417725,0.006407266483,761.9417725,0.01629560441,761.9417725,0.008275104687,761.9417725,0.007563875522,761.9417725,0.01053993963,761.9417725,0.008368329145,761.9417725,0.01002055407,761.9417725,0.01221992541,761.9417725,0.009736460634,761.9417725,0.01245979965,
760.9543457,0.0009360609693,760.9543457,-2.692057205E-5,760.9543457,0.001686999225,760.9543457,0.003074200358,760.9543457,0.001260714489,760.9543457,0.009916248731,760.9543457,0.001922580763,760.9543457,0.002104728715,760.9543457,0.006204819307,760.9543457,0.01577960327,760.9543457,0.006326465402,760.9543457,0.007020516321,760.9543457,0.006416435353,760.9543457,0.005454633385,760.9543457,0.006306976546,760.9543457,0.005342822522,760.9543457,0.008116566576,760.9543457,0.009681452997,
759.9665527,0.00145559723,759.9665527,0.003758943174,759.9665527,0.003451960394,759.9665527,0.004517136607,759.9665527,0.005932079628,759.9665527,0.00373638398,759.9665527,0.003607369261,759.9665527,0.004943123087,759.9665527,0.008625149727,759.9665527,0.01671931893,759.9665527,0.009039301425,759.9665527,0.008571735583,759.9665527,0.008844474331,759.9665527,0.01060911454,759.9665527,0.006832824089,759.9665527,0.007911317982,759.9665527,0.01001133583,759.9665527,0.01187910326,
758.9783325,0.001945644035,758.9783325,0.003827516222,758.9783325,0.00202326756,758.9783325,0.003525521606,758.9783325,0.004693703726,758.9783325,0.01000240911,758.9783325,0.006385672837,758.9783325,0.004949904513,758.9783325,0.005944439676,758.9783325,0.0150910411,758.9783325,0.008246505633,758.9783325,0.009552195668,758.9783325,0.009522850625,758.9783325,0.007327031344,758.9783325,0.008721063845,758.9783325,0.01027790364,758.9783325,0.01208070014,758.9783325,0.01128140837,
757.9898071,-0.001348478836,757.9898071,-0.0006536463043,757.9898071,-0.002000357956,757.9898071,-0.0003216434561,757.9898071,-0.004015346058,757.9898071,0.004372593015,757.9898071,0.001620660187,757.9898071,0.003222119762,757.9898071,0.003328012535,757.9898071,0.012008816,757.9898071,0.004422251135,757.9898071,0.004831260536,757.9898071,0.007403727155,757.9898071,0.003308449173,757.9898071,0.006630756427,757.9898071,0.005277232733,757.9898071,0.01045656297,757.9898071,0.008228618652,
757.0009155,-0.001201567822,757.0009155,0.001471103285,757.0009155,0.003761502216,757.0009155,0.001274759765,757.0009155,0.007898717187,757.0009155,0.0003150429402,757.0009155,0.005260515958,757.0009155,0.00320597738,757.0009155,0.006592961494,757.0009155,0.01143611036,757.0009155,0.006870271638,757.0009155,0.005362791941,757.0009155,0.007069951389,757.0009155,0.006479017902,757.0009155,0.00731126219,757.0009155,0.004885892384,757.0009155,0.01035151631,757.0009155,0.01219157036,
756.0116577,-0.003276370699,756.0116577,-0.002948218724,756.0116577,-0.0006017423002,756.0116577,-0.0011943914,756.0116577,0.001967954449,756.0116577,0.001574127586,756.0116577,0.004066927359,756.0116577,0.004150262102,756.0116577,0.003641355317,756.0116577,0.01142473519,756.0116577,0.006278349087,756.0116577,0.007409704383,756.0116577,0.006433774717,756.0116577,0.006074544508,756.0116577,0.007288596593,756.0116577,0.006421479397,756.0116577,0.0105806794,756.0116577,0.00846453011,
755.0220947,-0.0008047217852,755.0220947,0.001017136732,755.0220947,0.001564619015,755.0220947,0.001587195671,755.0220947,0.003162768669,755.0220947,0.01150739472,755.0220947,0.007314632181,755.0220947,0.002799693495,755.0220947,0.005006855354,755.0220947,0.01224687044,755.0220947,0.007310682908,755.0220947,0.00487688696,755.0220947,0.008397438563,755.0220947,0.006458970718,755.0220947,0.0114397509,755.0220947,0.005638059229,755.0220947,0.01098520495,755.0220947,0.01110254135,
754.0321045,-0.002042974345,754.0321045,-0.001146166469,754.0321045,0.0006527908845,754.0321045,4.219617767E-5,754.0321045,7.468744298E-5,754.0321045,0.009837545455,754.0321045,0.005039327312,754.0321045,0.0009933961555,754.0321045,0.005815423559,754.0321045,0.01339029707,754.0321045,0.005868657492,754.0321045,0.006876451895,754.0321045,0.006597823463,754.0321045,0.005884217098,754.0321045,0.008131520823,754.0321045,0.009551692754,754.0321045,0.009878484532,754.0321045,0.01362972427,
753.0418091,-0.0005057760281,753.0418091,0.001521833125,753.0418091,-0.0005946076126,753.0418091,0.004228516016,753.0418091,0.0005210604868,753.0418091,0.002068781992,753.0418091,0.007152469829,753.0418091,0.003030170687,753.0418091,0.001008055522,753.0418091,0.0124412328,753.0418091,0.0113087995,753.0418091,0.007325293962,753.0418091,0.006765063386,753.0418091,0.003010516521,753.0418091,0.006482197437,753.0418091,0.005291172769,753.0418091,0.01314881444,753.0418091,0.01295789517,
