baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_acid_0.5,,Arachadonic_acid_1.0,,Arachadonic_acid_1.5,,Arachadonic_acid_2.0,,Arachadonic_acid_2.5,,Arachadonic_acid_3.0,,Arachadonic_acid_3.5,,Arachadonic_acid_4.0,,Arachadonic_acid_5.0,,Arachadonic_acid_6.0,,Arachadonic_acid_7.0,,Arachadonic_acid_8.0,,Arachadonic_acid_9.0,,Arachadonic_acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.9532471,-0.002515855944,770.9532471,0.004099825397,770.9532471,0.005579006393,770.9532471,0.005257974379,770.9532471,0.00565767521,770.9532471,0.005511231255,770.9532471,0.009581621736,770.9532471,0.006198937539,770.9532471,0.02992996946,770.9532471,0.01382206101,770.9532471,0.006247622892,770.9532471,0.006240374874,770.9532471,0.01056961901,770.9532471,0.03552372009,770.9532471,0.02391384169,770.9532471,0.0217697937,770.9532471,0.04875613376,770.9532471,0.02104138024,
769.9690552,-0.0003301794059,769.9690552,0.002641187515,769.9690552,0.004178436007,769.9690552,0.004842542112,769.9690552,0.01004821062,769.9690552,0.00711044576,769.9690552,0.006518931594,769.9690552,0.01230534539,769.9690552,0.0277197212,769.9690552,0.01327338256,769.9690552,0.01019089296,769.9690552,0.004932964221,769.9690552,0.01207657438,769.9690552,0.03376757354,769.9690552,0.0235565342,769.9690552,0.02959611081,769.9690552,0.04522259533,769.9690552,0.0199574437,
768.9845581,0.0005720423069,768.9845581,0.005597518291,768.9845581,0.007114524022,768.9845581,0.007610448636,768.9845581,0.008329908364,768.9845581,0.01034772489,768.9845581,0.01154593844,768.9845581,0.01111382805,768.9845581,0.03023111261,768.9845581,0.01464990247,768.9845581,0.01235570572,768.9845581,0.01144820265,768.9845581,0.01135141868,768.9845581,0.03528685495,768.9845581,0.02394414693,768.9845581,0.02821061201,768.9845581,0.05376210809,768.9845581,0.02745014615,
767.9996948,0.0007448859396,767.9996948,0.006806318182,767.9996948,0.005840741098,767.9996948,0.005805034656,767.9996948,0.005209792871,767.9996948,0.006855124142,767.9996948,0.007038405631,767.9996948,0.01032744534,767.9996948,0.03368694335,767.9996948,0.01552468818,767.9996948,0.007970372215,767.9996948,0.01096752379,767.9996948,0.01131158974,767.9996948,0.03668114915,767.9996948,0.0252266638,767.9996948,0.02464144863,767.9996948,0.05032363161,767.9996948,0.02340526879,
767.0144653,-0.0009595674346,767.0144653,0.006288880948,767.0144653,0.003079362214,767.0144653,0.003856478725,767.0144653,0.004038054962,767.0144653,0.006266793702,767.0144653,0.01020011492,767.0144653,0.007436299697,767.0144653,0.02976061031,767.0144653,0.009561589919,767.0144653,0.01147395652,767.0144653,0.01009823009,767.0144653,0.01044245623,767.0144653,0.03193409741,767.0144653,0.02327901684,767.0144653,0.02922615223,767.0144653,0.04311060533,767.0144653,0.02260546759,
766.0288696,-0.003559757257,766.0288696,0.003809314221,766.0288696,0.004442779813,766.0288696,0.005701054353,766.0288696,0.007785062771,766.0288696,0.007442909293,766.0288696,0.008723890409,766.0288696,0.009651438333,766.0288696,0.02600830607,766.0288696,0.01704605855,766.0288696,0.008945430629,766.0288696,0.01040369179,766.0288696,0.01419105008,766.0288696,0.03048223071,766.0288696,0.02186492644,766.0288696,0.0244819168,766.0288696,0.04676670209,766.0288696,0.02073711716,
765.0429077,-0.001516493154,765.0429077,0.003521398176,765.0429077,0.006063991692,765.0429077,0.005844440311,765.0429077,0.003005511826,765.0429077,0.00785103254,765.0429077,0.01098140888,765.0429077,0.007729221601,765.0429077,0.02831169777,765.0429077,0.01414387301,765.0429077,0.01044168789,765.0429077,0.009124072269,765.0429077,0.009901576675,765.0429077,0.03286328167,765.0429077,0.02504917234,765.0429077,0.02723216638,765.0429077,0.04831837118,765.0429077,0.02353188396,
764.0565796,-0.0009602906066,764.0565796,0.002067403402,764.0565796,0.006623633672,764.0565796,0.006331561133,764.0565796,0.002408313565,764.0565796,0.005485985428,764.0565796,0.007154338527,764.0565796,0.01143305376,764.0565796,0.03286166117,764.0565796,0.01500764396,764.0565796,0.01139433309,764.0565796,0.01075917203,764.0565796,0.008367300034,764.0565796,0.03141076118,764.0565796,0.01622624509,764.0565796,0.02423221804,764.0565796,0.04653198272,764.0565796,0.02546277083,
763.0698853,-0.0006490454543,763.0698853,0.006538824178,763.0698853,0.006722892635,763.0698853,0.006282629911,763.0698853,0.005800312385,763.0698853,0.008270777762,763.0698853,0.01183909271,763.0698853,0.008878449909,763.0698853,0.03240788355,763.0698853,0.01715069078,763.0698853,0.01217778027,763.0698853,0.01020515058,763.0698853,0.01007748581,763.0698853,0.03514346108,763.0698853,0.02436279878,763.0698853,0.0269023031,763.0698853,0.04240369797,763.0698853,0.0236675851,
761.9417725,-0.0001523898391,761.9417725,0.005363211501,761.9417725,0.004844270181,761.9417725,0.007157996297,761.9417725,0.009164652787,761.9417725,0.007359519601,761.9417725,0.008175675757,761.9417725,0.0116063403,761.9417725,0.03083244525,761.9417725,0.01545139961,761.9417725,0.009425939061,761.9417725,0.0085401861,761.9417725,0.0138600897,761.9417725,0.03415721282,761.9417725,0.02283243276,761.9417725,0.02452036925,761.9417725,0.04606790096,761.9417725,0.03279493749,
760.9543457,0.001662234543,760.9543457,0.004803358112,760.9543457,0.006842080504,760.9543457,0.006748473272,760.9543457,0.007557316683,760.9543457,0.008885821328,760.9543457,0.01015262771,760.9543457,0.008864764124,760.9543457,0.03252163902,760.9543457,0.01541760378,760.9543457,0.01024296973,760.9543457,0.01151427906,760.9543457,0.01253037341,760.9543457,0.03587513044,760.9543457,0.02845959738,760.9543457,0.02709063515,760.9543457,0.04578407854,760.9543457,0.02239110321,
759.9665527,0.001572101144,759.9665527,0.006863802206,759.9665527,0.005640812684,759.9665527,0.006406452507,759.9665527,0.0043678605,759.9665527,0.004607517272,759.9665527,0.007386585698,759.9665527,0.007530134637,759.9665527,0.03502174839,759.9665527,0.01544700097,759.9665527,0.009727459401,759.9665527,0.009770452976,759.9665527,0.009708056226,759.9665527,0.03138724715,759.9665527,0.02107667737,759.9665527,0.02612496167,759.9665527,0.04585084692,759.9665527,0.01679594256,
758.9783325,0.001701396075,758.9783325,0.009007084183,758.9783325,0.00426163571,758.9783325,0.006069766823,758.9783325,0.001983036753,758.9783325,0.007739973255,758.9783325,0.01018797792,758.9783325,0.006927659269,758.9783325,0.03110654652,758.9783325,0.0178723596,758.9783325,0.008388835005,758.9783325,0.0105374204,758.9783325,0.01663044468,758.9783325,0.03549978882,758.9783325,0.02173740789,758.9783325,0.02764073201,758.9783325,0.04411435127,758.9783325,0.02148177475,
757.9898071,0.001564541133,757.9898071,0.005014004186,757.9898071,0.006312860176,757.9898071,0.008143020794,757.9898071,0.004615862854,757.9898071,0.01088218018,757.9898071,0.009313789196,757.9898071,0.01147876773,757.9898071,0.03446038067,757.9898071,0.01618233882,757.9898071,0.01123398822,757.9898071,0.01068933681,757.9898071,0.0141388718,757.9898071,0.03543728963,757.9898071,0.02568390034,757.9898071,0.02602435648,757.9898071,0.04687237367,757.9898071,0.02301507816,
757.0009155,-0.001343988581,757.0009155,0.00361206755,757.0009155,0.004990070593,757.0009155,0.006767192855,757.0009155,0.005782578606,757.0009155,0.007254797965,757.0009155,0.006349606439,757.0009155,0.008305553347,757.0009155,0.03193916753,757.0009155,0.01748169027,757.0009155,0.008833299391,757.0009155,0.009466679767,757.0009155,0.00933605805,757.0009155,0.03065626137,757.0009155,0.02491166815,757.0009155,0.02819970064,757.0009155,0.04344660789,757.0009155,0.02148906328,
756.0116577,-0.0001626887242,756.0116577,0.002856076462,756.0116577,0.003669026308,756.0116577,0.003651849227,756.0116577,0.003844386898,756.0116577,0.005783182103,756.0116577,0.009808101691,756.0116577,0.008151883259,756.0116577,0.02809082717,756.0116577,0.01486816537,756.0116577,0.009396629408,756.0116577,0.006877503823,756.0116577,0.01163627859,756.0116577,0.03185508773,756.0116577,0.02399365976,756.0116577,0.02269993722,756.0116577,0.04113177955,756.0116577,0.03086623922,
755.0220947,-0.001258562435,755.0220947,0.004243964329,755.0220947,0.002144320402,755.0220947,0.007108367048,755.0220947,0.005817705765,755.0220947,0.003842193168,755.0220947,0.008078826591,755.0220947,0.005753408652,755.0220947,0.02937117778,755.0220947,0.01660123654,755.0220947,0.009579690173,755.0220947,0.006377030164,755.0220947,0.01345990039,755.0220947,0.03168350086,755.0220947,0.02249337919,755.0220947,0.0250045862,755.0220947,0.04740319774,755.0220947,0.02198711783,
754.0321045,-0.0004255121166,754.0321045,0.005381793249,754.0321045,0.004427297972,754.0321045,0.006782153621,754.0321045,0.00912481267,754.0321045,0.009046173654,754.0321045,0.009706705809,754.0321045,0.003904666984,754.0321045,0.03283686936,754.0321045,0.01641473547,754.0321045,0.009138215333,754.0321045,0.00724440068,754.0321045,0.004882934038,754.0321045,0.03737910464,754.0321045,0.02718167752,754.0321045,0.02339649945,754.0321045,0.04731081799,754.0321045,0.02133538947,
753.0418091,0.0006353956414,753.0418091,0.004316535778,753.0418091,0.004726309329,753.0418091,0.007604679558,753.0418091,0.005961104296,753.0418091,0.006259703077,753.0418091,0.007837221026,753.0418091,0.008556106128,753.0418091,0.03349874914,753.0418091,0.0132932933,753.0418091,0.01001597196,753.0418091,0.009774900973,753.0418091,0.01392642688,753.0418091,0.03528767079,753.0418091,0.02478075773,753.0418091,0.02706655674,753.0418091,0.04519665614,753.0418091,0.01961545274,
752.0510864,0.002397615463,752.0510864,0.005053731147,752.0510864,0.006599269342,752.0510864,0.003081239294,752.0510864,0.007976489142,752.0510864,0.006260805763,752.0510864,0.007719551213,752.0510864,0.01115547121,752.0510864,0.03137422726,752.0510864,0.01600130834,752.0510864,0.01099914405,752.0510864,0.01195274852,752.0510864,0.01207205001,752.0510864,0.03464666754,752.0510864,0.0257402584,752.0510864,0.02740434743,752.0510864,0.0496025756,752.0510864,0.02407655679,
751.0600586,-0.001193049015,751.0600586,0.004522577394,751.0600586,0.007322529797,751.0600586,0.01110317931,751.0600586,0.007456313353,751.0600586,0.00785944052,751.0600586,0.00871636346,751.0600586,0.006264298689,751.0600586,0.03213435039,751.0600586,0.01649200357,751.0600586,0.008573213592,751.0600586,0.01130444277,751.0600586,0.01244320348,751.0600586,0.03479186073,751.0600586,0.02462501079,751.0600586,0.02298150584,751.0600586,0.04992970452,751.0600586,0.02530622855,
750.0686646,0.0009492136887,750.0686646,0.006560031325,750.0686646,0.006055906881,750.0686646,0.007547676563,750.0686646,0.005287111271,750.0686646,0.007382531185,750.0686646,0.01084725186,750.0686646,0.009899457917,750.0686646,0.02958738059,750.0686646,0.01815008558,750.0686646,0.009044984356,750.0686646,0.005398357287,750.0686646,0.0138508426,750.0686646,0.02380767651,750.0686646,0.02616166323,750.0686646,0.02368477918,750.0686646,0.04653921351,750.0686646,0.01535471156,
