baseline,,bm3,,dmso_1.0.,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
761.9417725,-0.004964249674,761.9417725,-0.001423154143,761.9417725,0.001883945195,761.9417725,0.0008075382793,761.9417725,0.003330699168,761.9417725,0.004484259058,761.9417725,0.00483256951,761.9417725,0.006144087762,761.9417725,0.004380542319,761.9417725,0.003818140831,761.9417725,0.03043100238,761.9417725,0.01448345277,761.9417725,0.008955948055,761.9417725,0.01067023538,761.9417725,0.01580091752,761.9417725,0.01685153507,761.9417725,0.0211842414,761.9417725,0.03345342726,
760.9543457,-0.004669178743,760.9543457,0.0004403622879,760.9543457,-0.0009007253684,760.9543457,-0.001891865279,760.9543457,0.002861548448,760.9543457,0.001283976366,760.9543457,0.002766190097,760.9543457,0.001941275666,760.9543457,0.003148662392,760.9543457,0.000842083944,760.9543457,0.02837596834,760.9543457,0.005355925765,760.9543457,0.001829897752,760.9543457,0.005817784462,760.9543457,0.005552025978,760.9543457,0.00883617904,760.9543457,0.01892170683,760.9543457,0.03322981298,
759.9665527,-3.261619668E-6,759.9665527,0.0006644054083,759.9665527,0.002508123638,759.9665527,0.005373013206,759.9665527,0.006492286921,759.9665527,0.003628538456,759.9665527,0.00573630631,759.9665527,0.004191400018,759.9665527,0.005061876029,759.9665527,0.009327805601,759.9665527,0.03098957241,759.9665527,0.01287250686,759.9665527,0.01119796839,759.9665527,0.009601205587,759.9665527,0.01343464293,759.9665527,0.01729693823,759.9665527,0.01711756922,759.9665527,0.03936107457,
758.9783325,-0.001350078732,758.9783325,-0.0007418791065,758.9783325,0.002994043054,758.9783325,0.003163211979,758.9783325,0.001323467353,758.9783325,0.002469774568,758.9783325,0.0026220195,758.9783325,0.004205148201,758.9783325,0.004682504106,758.9783325,0.008886481635,758.9783325,0.03045746312,758.9783325,0.01133768167,758.9783325,0.009610070847,758.9783325,0.01064479351,758.9783325,0.01118397061,758.9783325,0.01706372015,758.9783325,0.01798987202,758.9783325,0.03497584537,
757.9898071,-0.001450244687,757.9898071,-0.0008672453696,757.9898071,0.002192240907,757.9898071,0.003423416056,757.9898071,0.003230725881,757.9898071,0.00373163214,757.9898071,0.004802468233,757.9898071,0.003380211769,757.9898071,0.001522794249,757.9898071,0.009178559296,757.9898071,0.02912438288,757.9898071,0.004961974453,757.9898071,0.009311910719,757.9898071,0.01041991822,757.9898071,0.01133234054,757.9898071,0.01309884246,757.9898071,0.02189985476,757.9898071,0.03307081014,
757.0009155,-0.0008722055354,757.0009155,0.0006482022,757.0009155,0.0004631915654,757.0009155,0.00374288531,757.0009155,0.005642622244,757.0009155,0.005132095423,757.0009155,0.004470005166,757.0009155,0.007498792373,757.0009155,0.008708149195,757.0009155,0.007342564408,757.0009155,0.02781337872,757.0009155,0.003017528215,757.0009155,0.01036591176,757.0009155,0.01031326316,757.0009155,0.01486133505,757.0009155,0.008382368833,757.0009155,0.0245951768,757.0009155,0.03428392485,
756.0116577,-0.002464740304,756.0116577,-0.002364962595,756.0116577,0.0005977039691,756.0116577,0.001075313077,756.0116577,0.003815503325,756.0116577,0.001866630511,756.0116577,0.000139651369,756.0116577,0.00294861407,756.0116577,0.004292901605,756.0116577,0.006038556341,756.0116577,0.02826428786,756.0116577,0.01024723705,756.0116577,0.007909103297,756.0116577,0.006407398265,756.0116577,0.008343761787,756.0116577,0.0141961854,756.0116577,0.02490810491,756.0116577,0.03490433469,
755.0220947,-0.0006195785245,755.0220947,-0.0001110883677,755.0220947,0.002594389254,755.0220947,0.001415990409,755.0220947,0.003266064683,755.0220947,0.0003025570186,755.0220947,0.003884685924,755.0220947,0.003029414685,755.0220947,0.008634444326,755.0220947,0.01055720635,755.0220947,0.02976648696,755.0220947,0.008466931991,755.0220947,0.007440065499,755.0220947,0.007186550181,755.0220947,0.004136411007,755.0220947,0.01418529917,755.0220947,0.02202028595,755.0220947,0.04253061116,
754.0321045,-0.0008005360141,754.0321045,0.002382700797,754.0321045,-0.003460590495,754.0321045,0.004668295849,754.0321045,0.000842083944,754.0321045,0.005538208876,754.0321045,0.004731072113,754.0321045,0.006689058617,754.0321045,0.003094066167,754.0321045,0.004274157342,754.0321045,0.03266687691,754.0321045,0.009816125035,754.0321045,0.01078613289,754.0321045,0.009964478202,754.0321045,0.01033250894,754.0321045,0.01378131006,754.0321045,0.02037902176,754.0321045,0.03679377958,
753.0418091,0.0017249675,753.0418091,0.002540773945,753.0418091,0.00194933638,753.0418091,0.00398123078,753.0418091,0.005061666481,753.0418091,0.003474557074,753.0418091,0.004984388128,753.0418091,0.009066314436,753.0418091,0.005675666034,753.0418091,0.009196670726,753.0418091,0.03108446673,753.0418091,0.01551529858,753.0418091,0.00514540216,753.0418091,0.008518327959,753.0418091,0.01352930162,753.0418091,0.01268253569,753.0418091,0.02298055217,753.0418091,0.04255639017,
