baseline,,bm3,,dmso_1,,dmso_2,,4Phenylimidazole_0.1,,4Phenylimidazole_0.2,,4Phenylimidazole_0.3,,4Phenylimidazole_0.5,,4Phenylimidazole_0.6,,4Phenylimidazole_0.7,,4Phenylimidazole_0.8,,4Phenylimidazole_0.9,,4Phenylimidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
757.0009155,-9.897666314E-5,757.0009155,-0.006815496366,757.0009155,-0.00611522235,757.0009155,-0.003325027414,757.0009155,-0.005465200637,757.0009155,-0.003053877503,757.0009155,-0.003075520042,757.0009155,0.0003141103662,757.0009155,0.001615099958,757.0009155,0.002987266053,757.0009155,0.003563703038,757.0009155,0.003928149119,757.0009155,0.006496123504,
756.0116577,0.000311804848,756.0116577,-0.009438820183,756.0116577,-0.006678835489,756.0116577,-0.0047318656,756.0116577,-0.005684520584,756.0116577,-0.003453194397,756.0116577,-0.003161103697,756.0116577,-0.001114151324,756.0116577,0.003116435604,756.0116577,0.004114877433,756.0116577,0.004761351272,756.0116577,0.002646604553,756.0116577,0.002985884668,
755.0220947,0.0003374770167,755.0220947,-0.00705196429,755.0220947,-0.005101399962,755.0220947,-0.007483907975,755.0220947,-0.001549304114,755.0220947,-0.0007429127581,755.0220947,-0.007385887671,755.0220947,-0.004796488676,755.0220947,0.001289662207,755.0220947,0.005635804031,755.0220947,0.002002462512,755.0220947,0.004877410363,755.0220947,0.008854935877,
754.0321045,-0.001776230172,754.0321045,-0.004770681728,754.0321045,-0.004090026021,754.0321045,-0.01078860369,754.0321045,-0.002824274823,754.0321045,-0.001921812887,754.0321045,0.0006731683388,754.0321045,-1.397819779E-5,754.0321045,0.002856649924,754.0321045,0.002378744539,754.0321045,0.004488600884,754.0321045,0.004741749261,754.0321045,0.01115058456,
753.0418091,0.001476324047,753.0418091,-0.007754646242,753.0418091,-0.004059868399,753.0418091,-0.003885292681,753.0418091,-0.003922645468,753.0418091,-0.00103028107,753.0418091,0.001068384503,753.0418091,-0.000282686291,753.0418091,0.005142782815,753.0418091,0.006979320198,753.0418091,0.003559214063,753.0418091,0.003901219228,753.0418091,0.009286787361,
752.0510864,0.003290008055,752.0510864,-0.006723289378,752.0510864,-0.00276043755,752.0510864,-0.002097797813,752.0510864,-0.002401777077,752.0510864,0.002912102267,752.0510864,0.003667851677,752.0510864,0.0009488764335,752.0510864,0.00196701847,752.0510864,0.01175126433,752.0510864,0.007490601856,752.0510864,0.007372499444,752.0510864,0.009110590443,
751.0600586,0.00112752791,751.0600586,-0.006875733845,751.0600586,-0.005879724864,751.0600586,-0.004072024021,751.0600586,-0.002893811325,751.0600586,-0.003293223912,751.0600586,-0.005527159199,751.0600586,8.382685337E-5,751.0600586,0.0005629703519,751.0600586,0.008110051975,751.0600586,-0.0007839474711,751.0600586,0.004076098558,751.0600586,0.005113655701,
750.0686646,0.0006556166918,750.0686646,-0.004004266113,750.0686646,-0.004808367696,750.0686646,0.0008412020979,750.0686646,-0.001278384821,750.0686646,0.0008023515111,750.0686646,0.003702677786,750.0686646,0.002234962769,750.0686646,0.004923408385,750.0686646,0.009401972406,750.0686646,0.009154871106,750.0686646,0.005665909965,750.0686646,0.007404227275,
748.9352417,0.0004398181336,748.9352417,-0.004868218675,748.9352417,-0.006541366689,748.9352417,-0.004804937169,748.9352417,-0.003473430639,748.9352417,0.0003106132499,748.9352417,-0.001323033706,748.9352417,0.002902407898,748.9352417,0.001665482763,748.9352417,0.01412520651,748.9352417,0.00812896248,748.9352417,0.004135444295,748.9352417,0.005362346768,
747.9431152,-0.0002067796595,747.9431152,-0.005136294756,747.9431152,-0.003680668073,747.9431152,-0.003829976078,747.9431152,-0.006480164826,747.9431152,-0.0017871093,747.9431152,-0.001165684313,747.9431152,-0.001640037168,747.9431152,0.002698696218,747.9431152,0.007125233766,747.9431152,0.004501207732,747.9431152,-0.003104666714,747.9431152,0.005597387441,
746.9506226,-0.004305632785,746.9506226,-0.006629329175,746.9506226,-0.005529101938,746.9506226,-0.005650692154,746.9506226,-0.004057611339,746.9506226,-0.002738624811,746.9506226,-0.008854532614,746.9506226,-0.001373509644,746.9506226,3.872713569E-5,746.9506226,0.01118375827,746.9506226,0.005288028158,746.9506226,0.00259899837,746.9506226,0.004804012831,
745.9577637,0.0001545149426,745.9577637,-0.005295434501,745.9577637,-0.003493306227,745.9577637,-0.006252775434,745.9577637,-0.003200677224,745.9577637,-0.003169121454,745.9577637,0.003296372481,745.9577637,-0.002511377679,745.9577637,-0.001994173741,745.9577637,0.01293901354,745.9577637,0.006172286347,745.9577637,0.002917861566,745.9577637,0.005988582037,
744.9645386,0.003485568799,744.9645386,-0.002826280892,744.9645386,-0.0032430219,744.9645386,-0.001577057294,744.9645386,-0.00362994615,744.9645386,0.001169029158,744.9645386,0.00317815342,744.9645386,-0.00174585986,744.9645386,0.0038697985,744.9645386,0.01459766924,744.9645386,0.006886209361,744.9645386,0.006502403412,744.9645386,0.008571101353,
