baseline,,bm3,,dmso_1.0,,dmso_2.0,,Arachadonic_Acid_0.5,,Arachadonic_Acid_1.0,,Arachadonic_Acid_1.5,,Arachadonic_Acid_2.0,,Arachadonic_Acid_2.5,,Arachadonic_Acid_3.0,,Arachadonic_Acid_3.5,,Arachadonic_Acid_4.0,,Arachadonic_Acid_4.5,,Arachadonic_Acid_5.0,,Arachadonic_Acid_6.0,,Arachadonic_Acid_7.0,,Arachadonic_Acid_8.0,,Arachadonic_Acid_9.0,,Arachadonic_Acid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.9532471,-0.0023167131,770.9532471,0.00501429243,770.9532471,0.00667607272,770.9532471,0.01029120944,770.9532471,0.007399013732,770.9532471,0.00538753299,770.9532471,0.008756192401,770.9532471,0.01284018997,770.9532471,0.01638204604,770.9532471,0.01692497917,770.9532471,0.01157169882,770.9532471,0.01295344159,770.9532471,0.01533666439,770.9532471,0.01394735742,770.9532471,0.02003927529,770.9532471,0.02328726463,770.9532471,0.01700228639,770.9532471,0.02030835487,770.9532471,0.02522221953,
769.9690552,-0.001613525907,769.9690552,0.006204084028,769.9690552,0.008734163828,769.9690552,0.008913484402,769.9690552,0.01277812384,769.9690552,0.006760777906,769.9690552,0.009108026512,769.9690552,0.01174022723,769.9690552,0.01733788662,769.9690552,0.01759154908,769.9690552,0.0140731968,769.9690552,0.01348457299,769.9690552,0.01436008979,769.9690552,0.01221555844,769.9690552,0.015638588,769.9690552,0.02375766635,769.9690552,0.01696355082,769.9690552,0.01704446971,769.9690552,0.01669750176,
768.9845581,0.0002306275419,768.9845581,0.005236123223,768.9845581,0.006868641358,768.9845581,0.009860079736,768.9845581,0.01149750687,768.9845581,0.01018243935,768.9845581,0.008512176573,768.9845581,0.01379560586,768.9845581,0.01948791556,768.9845581,0.01927159354,768.9845581,0.0116776526,768.9845581,0.01360835601,768.9845581,0.014972114,768.9845581,0.01321413554,768.9845581,0.0189888496,768.9845581,0.02215140313,768.9845581,0.01681445539,768.9845581,0.02427834086,768.9845581,0.02770556696,
767.9996948,-0.0006003464223,767.9996948,0.006381417159,767.9996948,0.007019384764,767.9996948,0.01284450945,767.9996948,0.0108076809,767.9996948,0.008983140811,767.9996948,0.01163056213,767.9996948,0.0116800461,767.9996948,0.01698788442,767.9996948,0.0173746869,767.9996948,0.01432969514,767.9996948,0.01284978911,767.9996948,0.0152304573,767.9996948,0.01447922457,767.9996948,0.01745150797,767.9996948,0.02280845121,767.9996948,0.01647167653,767.9996948,0.01649262197,767.9996948,0.01915533096,
767.0144653,0.001113253878,767.0144653,0.006453742273,767.0144653,0.008123344742,767.0144653,0.00975014735,767.0144653,0.01454718225,767.0144653,0.008191344328,767.0144653,0.01644218341,767.0144653,0.01624736562,767.0144653,0.01746600494,767.0144653,0.01937684603,767.0144653,0.01387355942,767.0144653,0.01484936103,767.0144653,0.01438061148,767.0144653,0.01362983137,767.0144653,0.01873399131,767.0144653,0.02438804321,767.0144653,0.01929448731,767.0144653,0.02054250799,767.0144653,0.02198662795,
766.0288696,-0.001444259076,766.0288696,0.006729780696,766.0288696,0.007084606681,766.0288696,0.01071191486,766.0288696,0.01008840092,766.0288696,0.008636398241,766.0288696,0.0108251702,766.0288696,0.008208701387,766.0288696,0.01751448773,766.0288696,0.01839077473,766.0288696,0.01225549728,766.0288696,0.01364799496,766.0288696,0.01309505384,766.0288696,0.01161067374,766.0288696,0.01931621879,766.0288696,0.02206968889,766.0288696,0.01753359661,766.0288696,0.01914518513,766.0288696,0.02249335125,
765.0429077,-0.001188557129,765.0429077,0.006948517635,765.0429077,0.006075305864,765.0429077,0.01249128859,765.0429077,0.01617306843,765.0429077,0.007859678008,765.0429077,0.01106483303,765.0429077,0.009459695779,765.0429077,0.01929519139,765.0429077,0.0196052976,765.0429077,0.01740136184,765.0429077,0.01434786152,765.0429077,0.01395128667,765.0429077,0.01744584925,765.0429077,0.01525638346,765.0429077,0.02203981206,765.0429077,0.01484909374,765.0429077,0.02040978894,765.0429077,0.02180523239,
764.0565796,-0.002073478419,764.0565796,0.005365727469,764.0565796,0.005055276211,764.0565796,0.008127063513,764.0565796,0.009589402005,764.0565796,0.008979388513,764.0565796,0.009394565597,764.0565796,0.01012011617,764.0565796,0.01771445945,764.0565796,0.01649181545,764.0565796,0.01449750457,764.0565796,0.01143820956,764.0565796,0.01310476474,764.0565796,0.009517823346,764.0565796,0.01658060774,764.0565796,0.02201513946,764.0565796,0.01760284416,764.0565796,0.01917740703,764.0565796,0.02146303467,
763.0698853,0.001115407911,763.0698853,0.00544650713,763.0698853,0.007519177627,763.0698853,0.009544548579,763.0698853,0.01223795023,763.0698853,0.007258298807,763.0698853,0.01119199209,763.0698853,0.009704032913,763.0698853,0.01622962952,763.0698853,0.01472423319,763.0698853,0.01151124854,763.0698853,0.01137764566,763.0698853,0.01290695928,763.0698853,0.01194617618,763.0698853,0.01857966743,763.0698853,0.02013478801,763.0698853,0.01609593816,763.0698853,0.01825382374,763.0698853,0.02294862084,
761.9417725,-0.004554178566,761.9417725,0.006174754351,761.9417725,0.006332060322,761.9417725,0.007287333254,761.9417725,0.008678676561,761.9417725,0.0122606894,761.9417725,0.01334382128,761.9417725,0.0123483818,761.9417725,0.01741957664,761.9417725,0.01734540239,761.9417725,0.01554953121,761.9417725,0.0139587177,761.9417725,0.0145191839,761.9417725,0.01524268277,761.9417725,0.02099342644,761.9417725,0.01942045242,761.9417725,0.01989432424,761.9417725,0.02125997283,761.9417725,0.0188752301,
760.9543457,0.0002152951784,760.9543457,0.007164285984,760.9543457,0.01346585527,760.9543457,0.008953252807,760.9543457,0.009255503304,760.9543457,0.01041260082,760.9543457,0.01391343679,760.9543457,0.01073473413,760.9543457,0.01818042435,760.9543457,0.01742221788,760.9543457,0.01658708975,760.9543457,0.01403937396,760.9543457,0.01227059495,760.9543457,0.01210098248,760.9543457,0.02271941304,760.9543457,0.02133911476,760.9543457,0.01542476472,760.9543457,0.01920367777,760.9543457,0.01859949902,
759.9665527,-0.0021213945,759.9665527,0.003922402859,759.9665527,0.0088484101,759.9665527,0.01045985147,759.9665527,0.01179419179,759.9665527,0.009121719748,759.9665527,0.009623304009,759.9665527,0.01132349297,759.9665527,0.01908829808,759.9665527,0.01763915643,759.9665527,0.01561363228,759.9665527,0.01090994477,759.9665527,0.01025327947,759.9665527,0.01196663827,759.9665527,0.01973522641,759.9665527,0.01695620269,759.9665527,0.02085060067,759.9665527,0.01978393458,759.9665527,0.02137565799,
758.9783325,-0.0004986397689,758.9783325,0.005355637521,758.9783325,0.01026494242,758.9783325,0.008316450752,758.9783325,0.01156880148,758.9783325,0.008543934673,758.9783325,0.01003409084,758.9783325,0.009656202048,758.9783325,0.01748810336,758.9783325,0.01460128278,758.9783325,0.01824991032,758.9783325,0.01130295452,758.9783325,0.01193564013,758.9783325,0.01207218319,758.9783325,0.01842901669,758.9783325,0.02432370372,758.9783325,0.01866005175,758.9783325,0.01847217791,758.9783325,0.02644493617,
757.9898071,0.002320055151,757.9898071,0.005227738991,757.9898071,0.008461627178,757.9898071,0.009054975584,757.9898071,0.01008784492,757.9898071,0.01129663177,757.9898071,0.01095207315,757.9898071,0.01225408539,757.9898071,0.01833420247,757.9898071,0.01610313728,757.9898071,0.01595987007,757.9898071,0.01236444153,757.9898071,0.01331648789,757.9898071,0.01027922891,757.9898071,0.0199405849,757.9898071,0.01759184524,757.9898071,0.01771772094,757.9898071,0.01927267574,757.9898071,0.01787071489,
757.0009155,0.001671719248,757.0009155,0.006843605544,757.0009155,0.01166486274,757.0009155,0.0105208708,757.0009155,0.01254023146,757.0009155,0.01245042309,757.0009155,0.01292263903,757.0009155,0.01164071914,757.0009155,0.02041657083,757.0009155,0.01683910377,757.0009155,0.01344006229,757.0009155,0.01272835489,757.0009155,0.01489203423,757.0009155,0.0154361641,757.0009155,0.0191699937,757.0009155,0.02178168856,757.0009155,0.0193572212,757.0009155,0.02014493011,757.0009155,0.0202620551,
756.0116577,-0.003263113787,756.0116577,0.00274477643,756.0116577,0.007045509294,756.0116577,0.005487741902,756.0116577,0.008352601901,756.0116577,0.007177602034,756.0116577,0.007516570389,756.0116577,0.008590137586,756.0116577,0.01687599719,756.0116577,0.01334245969,756.0116577,0.00960522797,756.0116577,0.007649702486,756.0116577,0.009065653197,756.0116577,0.0101886401,756.0116577,0.01722854935,756.0116577,0.01697426289,756.0116577,0.0104701668,756.0116577,0.01834214106,756.0116577,0.01371910889,
755.0220947,-0.001609605737,755.0220947,0.005931108724,755.0220947,0.008386512287,755.0220947,0.008639223874,755.0220947,0.01175059937,755.0220947,0.01002762746,755.0220947,0.008339301683,755.0220947,0.01179421879,755.0220947,0.02006405406,755.0220947,0.01401525829,755.0220947,0.01993977278,755.0220947,0.01630549505,755.0220947,0.01202824339,755.0220947,0.01224718988,755.0220947,0.01900364272,755.0220947,0.02203507349,755.0220947,0.01619574614,755.0220947,0.0207472723,755.0220947,0.02404771931,
754.0321045,0.00047778117,754.0321045,0.004399369471,754.0321045,0.005489603151,754.0321045,0.01199032087,754.0321045,0.008398652077,754.0321045,0.009266451001,754.0321045,0.01229437441,754.0321045,0.007289281115,754.0321045,0.01642710157,754.0321045,0.01337104943,754.0321045,0.01359518804,754.0321045,0.01131942775,754.0321045,0.01307299174,754.0321045,0.01423983648,754.0321045,0.01925960742,754.0321045,0.01815359481,754.0321045,0.01814806275,754.0321045,0.02282029204,754.0321045,0.02230073325,
753.0418091,-0.002327012364,753.0418091,0.006164540537,753.0418091,0.00847376883,753.0418091,0.009341320954,753.0418091,0.01102922577,753.0418091,0.009195533581,753.0418091,0.01054641139,753.0418091,0.01222362556,753.0418091,0.01923544332,753.0418091,0.01815038361,753.0418091,0.01516333036,753.0418091,0.01190091856,753.0418091,0.01391367707,753.0418091,0.01519959979,753.0418091,0.01883686893,753.0418091,0.01900594123,753.0418091,0.01561733522,753.0418091,0.01885143854,753.0418091,0.02124996856,
