baseline,,bm3,,dmso_1.0,,dmso_2.0,,ArachadionicAcid_0.5,,ArachadionicAcid_1.0,,ArachadionicAcid_1.5,,ArachadionicAcid_2.0,,ArachadionicAcid_2.5,,ArachadionicAcid_3.0,,ArachadionicAcid_3.5,,ArachadionicAcid_4.0,,ArachadionicAcid_5.0,,ArachadionicAcid_6.0,,ArachadionicAcid_7.0,,ArachadionicAcid_7.0,,ArachadionicAcid_8.0,,ArachadionicAcid_9.0,,ArachadionicAcid_10.0,,ArachadionicAcid_10.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
770.9532471,-0.001039216295,770.9532471,0.004023423884,770.9532471,0.002303633839,770.9532471,0.003345620353,770.9532471,0.003623239463,770.9532471,0.001837878372,770.9532471,0.004004821647,770.9532471,0.008938508108,770.9532471,0.004104058724,770.9532471,0.00557300169,770.9532471,0.0100383563,770.9532471,0.009034095332,770.9532471,0.02172290161,770.9532471,0.0239856448,770.9532471,0.01962051727,770.9532471,0.04698161781,770.9532471,0.0117302537,770.9532471,0.01901748963,770.9532471,0.09451920539,770.9532471,0.0002030711184,
769.9690552,-0.0001732978562,769.9690552,6.51080918E-5,769.9690552,-0.0008600116707,769.9690552,0.00268345885,769.9690552,0.004303803667,769.9690552,0.0002614234108,769.9690552,0.004508635961,769.9690552,0.00563315535,769.9690552,0.004584102891,769.9690552,0.004519386217,769.9690552,0.006335369777,769.9690552,0.006429781206,769.9690552,0.01446876023,769.9690552,0.02826986834,769.9690552,0.01915132627,769.9690552,0.05048216134,769.9690552,0.01211248152,769.9690552,0.01777499728,769.9690552,0.09714177996,769.9690552,0.01118030492,
768.9845581,-0.001914287568,768.9845581,-0.004146899097,768.9845581,0.0001199721446,768.9845581,-0.0007876683376,768.9845581,0.0008464152925,768.9845581,-0.003240709659,768.9845581,0.002790626837,768.9845581,0.005316747818,768.9845581,0.007090527099,768.9845581,0.003216434736,768.9845581,0.007421816699,768.9845581,0.008027456701,768.9845581,0.01569660939,768.9845581,0.02793488093,768.9845581,0.01970927417,768.9845581,0.05203061178,768.9845581,0.01203095727,768.9845581,0.01712163538,768.9845581,0.0918475315,768.9845581,0.009545977227,
767.9996948,-0.001894906512,767.9996948,0.0005348226405,767.9996948,0.001111463178,767.9996948,0.00521031674,767.9996948,0.004024076741,767.9996948,0.006944256369,767.9996948,0.003344681114,767.9996948,0.00527476985,767.9996948,0.004938357975,767.9996948,0.005198632367,767.9996948,0.007635581307,767.9996948,0.009309160523,767.9996948,0.02011193149,767.9996948,0.02678345516,767.9996948,0.02139055915,767.9996948,0.04825576767,767.9996948,0.01098135579,767.9996948,0.01443343423,767.9996948,0.09505941719,767.9996948,0.01414975617,
767.0144653,-0.002575714607,767.0144653,-0.0003045192861,767.0144653,0.0008006917196,767.0144653,0.002117266413,767.0144653,0.004440216813,767.0144653,0.003316091606,767.0144653,0.004146864638,767.0144653,0.008645456284,767.0144653,0.002728417283,767.0144653,0.006869693287,767.0144653,0.01425861474,767.0144653,0.008504046127,767.0144653,0.0201228857,767.0144653,0.02733737975,767.0144653,0.01803355664,767.0144653,0.05971258134,767.0144653,0.01453010458,767.0144653,0.02145406045,767.0144653,0.1003668234,767.0144653,0.01708628237,
766.0288696,0.001720133587,766.0288696,0.003119616536,766.0288696,0.004001164343,766.0288696,0.005488056224,766.0288696,0.004433652852,766.0288696,0.006152043119,766.0288696,0.007692832965,766.0288696,0.006867878605,766.0288696,0.003675448243,766.0288696,0.01230987255,766.0288696,0.01405744813,766.0288696,0.01019118447,766.0288696,0.02087151445,766.0288696,0.02807936631,766.0288696,0.02142602019,766.0288696,0.05350088328,766.0288696,0.01415382139,766.0288696,0.02383928746,766.0288696,0.1018709689,766.0288696,0.01563595794,
765.0429077,-0.001562613528,765.0429077,7.124403055E-5,765.0429077,0.001357249101,765.0429077,0.00144196162,765.0429077,0.001040333649,765.0429077,0.002418699674,765.0429077,0.004172346555,765.0429077,0.006189799868,765.0429077,0.00209845975,765.0429077,0.002326821443,765.0429077,0.01164614316,765.0429077,0.007387059741,765.0429077,0.01692252979,765.0429077,0.02347917296,765.0429077,0.01894628629,765.0429077,0.03805786744,765.0429077,0.00721263187,765.0429077,0.01697415486,765.0429077,0.0959257707,765.0429077,0.007415813394,
764.0565796,-0.000283307163,764.0565796,-0.0004643530119,764.0565796,0.0001920386858,764.0565796,0.001120676287,764.0565796,0.0008998218109,764.0565796,0.0043872362,764.0565796,0.004342681263,764.0565796,0.005382788833,764.0565796,0.0059839366,764.0565796,0.005247153342,764.0565796,0.01182017941,764.0565796,0.007356912829,764.0565796,0.01672975719,764.0565796,0.0256511122,764.0565796,0.02086529322,764.0565796,0.04993196949,764.0565796,0.007124286611,764.0565796,0.01950337552,764.0565796,0.1003513932,764.0565796,0.01137676835,
763.0698853,0.001647163415,763.0698853,-0.0002033643104,763.0698853,0.0006351882475,763.0698853,0.001410432742,763.0698853,0.004946500529,763.0698853,0.003431817517,763.0698853,0.004203475546,763.0698853,0.005261406768,763.0698853,0.004355179146,763.0698853,0.006770689972,763.0698853,0.01425128523,763.0698853,0.005265127402,763.0698853,0.01469052024,763.0698853,0.02371938899,763.0698853,0.02098633535,763.0698853,0.04864470661,763.0698853,0.01525453292,763.0698853,0.01934509724,763.0698853,0.0968189314,763.0698853,0.01145896688,
761.9417725,0.0002440697135,761.9417725,0.0007544024847,761.9417725,0.001064699609,761.9417725,0.002321121981,761.9417725,0.002584780101,761.9417725,-0.001099588815,761.9417725,0.004209643696,761.9417725,0.006687297486,761.9417725,0.005478487816,761.9417725,0.007214816753,761.9417725,0.01518796571,761.9417725,0.007295467425,761.9417725,0.01819116808,761.9417725,0.02568318695,761.9417725,0.01344190445,761.9417725,0.04961473495,761.9417725,0.01074234862,761.9417725,0.01860271394,761.9417725,0.1022370011,761.9417725,0.01140910853,
760.9543457,0.001293063397,760.9543457,0.004771532025,760.9543457,0.004362186417,760.9543457,0.00331262243,760.9543457,0.004741461482,760.9543457,0.00573648978,760.9543457,0.006258599926,760.9543457,0.006497805007,760.9543457,0.007795947138,760.9543457,0.008050662465,760.9543457,0.01615068875,760.9543457,0.006533962674,760.9543457,0.02225740813,760.9543457,0.02661994286,760.9543457,0.01905389316,760.9543457,0.05389282107,760.9543457,0.01184042264,760.9543457,0.02180171944,760.9543457,0.08904127032,760.9543457,0.01383411326,
759.9665527,0.0005751786521,759.9665527,-0.0001108295764,759.9665527,0.001358391601,759.9665527,0.003470851807,759.9665527,-0.0009701570962,759.9665527,0.001691988669,759.9665527,0.003139588516,759.9665527,0.004912071861,759.9665527,0.004640717991,759.9665527,0.003719804576,759.9665527,0.01554988045,759.9665527,0.006123084575,759.9665527,0.01917256415,759.9665527,0.02621898986,759.9665527,0.01998956129,759.9665527,0.04963043332,759.9665527,0.008379307576,759.9665527,0.01984823123,759.9665527,0.09793325514,759.9665527,0.009100598283,
758.9783325,0.001791946241,758.9783325,-0.0002636979334,758.9783325,0.000856582541,758.9783325,0.001023545628,758.9783325,0.003547652392,758.9783325,0.003805710468,758.9783325,0.003968508448,758.9783325,0.006497463211,758.9783325,0.005587816238,758.9783325,0.007565772161,758.9783325,0.01440809295,758.9783325,0.009300089441,758.9783325,0.01295984257,758.9783325,0.02183381282,758.9783325,0.01876101829,758.9783325,0.05203154311,758.9783325,0.012281592,758.9783325,0.01683985628,758.9783325,0.0993315503,758.9783325,0.012261861,
757.9898071,-0.0001654316002,757.9898071,0.002173274988,757.9898071,0.002461886266,757.9898071,0.005740555469,757.9898071,0.004476883449,757.9898071,0.0032138268,757.9898071,0.004226999823,757.9898071,0.004480675794,757.9898071,0.006544920616,757.9898071,0.006365183275,757.9898071,0.01515293028,757.9898071,0.007301074453,757.9898071,0.01565031521,757.9898071,0.02450946905,757.9898071,0.019188039,757.9898071,0.0464809835,757.9898071,0.01362459548,757.9898071,0.02021342702,757.9898071,0.09793672711,757.9898071,0.01332986075,
757.0009155,-0.001245708321,757.0009155,0.005024243146,757.0009155,4.900490239E-5,757.0009155,0.003865828738,757.0009155,0.003517222824,757.0009155,0.003535516793,757.0009155,0.006483327132,757.0009155,0.00567099778,757.0009155,0.007974432781,757.0009155,0.006808237638,757.0009155,0.01700557023,757.0009155,0.01068458799,757.0009155,0.01775142737,757.0009155,0.02555981278,757.0009155,0.01736544631,757.0009155,0.04811063036,757.0009155,0.007849134505,757.0009155,0.02268910967,757.0009155,0.1016085222,757.0009155,0.01218986697,
756.0116577,-0.003247543937,756.0116577,0.0001728750067,756.0116577,0.001930355094,756.0116577,0.001617308473,756.0116577,0.002953253221,756.0116577,0.003807016183,756.0116577,0.00592879951,756.0116577,0.002924011787,756.0116577,0.004710477311,756.0116577,0.006310469937,756.0116577,0.01444542315,756.0116577,0.01124966145,756.0116577,0.01900429092,756.0116577,0.02606344037,756.0116577,0.01933183521,756.0116577,0.04899493232,756.0116577,0.01685619168,756.0116577,0.01952622645,756.0116577,0.09918567538,756.0116577,0.01062813401,
