baseline,,bm3,,dmso_1,,dmso_2,,4-PhenylImidazole_0.1,,4-PhenylImidazole_0.2,,4-PhenylImidazole_0.3,,4-PhenylImidazole_0.4,,4-PhenylImidazole_0.5,,4-PhenylImidazole_0.6,,4-PhenylImidazole_0.7,,4-PhenylImidazole_0.8,,4-PhenylImidazole_0.9,,4-PhenylImidazole_1.0,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
765.0429077,6.77747521E-5,765.0429077,-4.819699825E-5,765.0429077,0.004539893474,765.0429077,0.003004834056,765.0429077,0.004388177767,765.0429077,0.0002453647321,765.0429077,0.003383264178,765.0429077,2.769807452E-6,765.0429077,0.001765226247,765.0429077,0.01222966984,765.0429077,0.01420332585,765.0429077,0.006834717467,765.0429077,0.02495032549,765.0429077,0.01412336156,
764.0565796,-0.001091171289,764.0565796,0.003337011905,764.0565796,0.00677460758,764.0565796,0.004142238759,764.0565796,0.005972651765,764.0565796,0.006276143249,764.0565796,0.006838477682,764.0565796,0.003792053321,764.0565796,0.002307120943,764.0565796,0.01635661721,764.0565796,0.01383010484,764.0565796,0.009064834565,764.0565796,0.0224909801,764.0565796,0.01754076593,
763.0698853,-0.002194288652,763.0698853,0.001634197426,763.0698853,0.00458494015,763.0698853,0.002408365486,763.0698853,0.00190107862,763.0698853,0.003043100238,763.0698853,0.007228818722,763.0698853,0.003665267024,763.0698853,-0.0002542810689,763.0698853,0.01273173932,763.0698853,0.01315185614,763.0698853,0.006303089671,763.0698853,0.02221645787,763.0698853,0.01412333455,
761.9417725,0.0005767857074,761.9417725,0.001734297606,761.9417725,0.006060211919,761.9417725,0.00550929131,761.9417725,0.004752976354,761.9417725,0.005617709365,761.9417725,0.01288298611,761.9417725,0.004822649062,761.9417725,0.006232338957,761.9417725,0.01033049449,761.9417725,0.01778190024,761.9417725,0.006377529353,761.9417725,0.02321418375,761.9417725,0.01829262078,
760.9543457,0.003080691909,760.9543457,0.00412172405,760.9543457,0.007987193763,760.9543457,0.004995909519,760.9543457,0.006097488105,760.9543457,0.005930662621,760.9543457,0.009469140321,760.9543457,0.006102738436,760.9543457,0.006805371493,760.9543457,0.01501348522,760.9543457,0.0127281677,760.9543457,0.008204428479,760.9543457,0.02476075292,760.9543457,0.01706525497,
759.9665527,0.002013671212,759.9665527,0.003807642963,759.9665527,0.008480948396,759.9665527,0.001515806536,759.9665527,0.00791482348,759.9665527,0.00473067956,759.9665527,0.007407097612,759.9665527,0.005763271358,759.9665527,0.005058130715,759.9665527,0.01435899269,759.9665527,0.01639314741,759.9665527,0.009788138792,759.9665527,0.02401032113,759.9665527,0.01750147156,
758.9783325,-0.001186285401,758.9783325,0.004626746755,758.9783325,0.006765273865,758.9783325,0.001936855377,758.9783325,0.00653816713,758.9783325,0.004570630379,758.9783325,0.003428295022,758.9783325,0.003693461884,758.9783325,0.003563128877,758.9783325,0.01154835802,758.9783325,0.01052140165,758.9783325,0.007749907672,758.9783325,0.02470150776,758.9783325,0.01382248849,
757.9898071,-0.0002449674648,757.9898071,0.002697289689,757.9898071,0.007739973255,757.9898071,0.004623947199,757.9898071,-0.001833613263,757.9898071,0.005710024387,757.9898071,0.01030242164,757.9898071,0.005314494018,757.9898071,0.008421719074,757.9898071,0.01535251271,757.9898071,0.01123125199,757.9898071,0.01191451401,757.9898071,0.02395960316,757.9898071,0.01617175341,
757.0009155,0.0007178154192,757.0009155,0.003835899057,757.0009155,0.008523237891,757.0009155,0.006461072247,757.0009155,0.004024651833,757.0009155,0.004136489704,757.0009155,0.0007270720671,757.0009155,0.009426574223,757.0009155,0.007501768414,757.0009155,0.01564019732,757.0009155,0.01908364519,757.0009155,0.008851237595,757.0009155,0.02410605364,757.0009155,0.01805390231,
756.0116577,0.002229837002,756.0116577,0.004790271632,756.0116577,0.008741770871,756.0116577,0.005551160779,756.0116577,0.002561474452,756.0116577,0.00676324917,756.0116577,0.008700517006,756.0116577,0.00740488572,756.0116577,0.003929167986,756.0116577,0.008131494746,756.0116577,0.01487486251,756.0116577,0.009435383603,756.0116577,0.02497686446,756.0116577,0.01745150797,
755.0220947,0.0001156998042,755.0220947,0.003287999658,755.0220947,0.008411557414,755.0220947,0.004991929512,755.0220947,0.002795759356,755.0220947,0.001119196997,755.0220947,0.003551071277,755.0220947,0.00316469837,755.0220947,0.006794537883,755.0220947,0.01451586466,755.0220947,0.008926749229,755.0220947,0.008483826183,755.0220947,0.02496924251,755.0220947,0.01704670489,
754.0321045,0.002684370382,754.0321045,0.004248774145,754.0321045,0.00758671388,754.0321045,0.004942730069,754.0321045,0.005488449708,754.0321045,0.006467640866,754.0321045,0.01062404923,754.0321045,0.003973393701,754.0321045,0.01013906114,754.0321045,0.01520346012,754.0321045,0.01612914167,754.0321045,0.008836627938,754.0321045,0.02704313956,754.0321045,0.01674810611,
753.0418091,0.000413414411,753.0418091,0.006658776198,753.0418091,0.006893468089,753.0418091,0.005046424456,753.0418091,0.005602448247,753.0418091,0.002660251921,753.0418091,0.006963458378,753.0418091,0.006308631506,753.0418091,0.005640261807,753.0418091,0.01256088167,753.0418091,0.01348732319,753.0418091,0.007322240155,753.0418091,0.02493425831,753.0418091,0.01774789579,
752.0510864,-0.0006169936387,752.0510864,0.001278524287,752.0510864,0.008133393712,752.0510864,0.003620472737,752.0510864,0.001126463874,752.0510864,0.003686517477,752.0510864,0.006164488383,752.0510864,0.004680881742,752.0510864,0.00540960161,752.0510864,0.0104835052,752.0510864,0.01144230273,752.0510864,0.003961219918,752.0510864,0.023901999,752.0510864,0.01542760804,
751.0600586,-0.0009315164061,751.0600586,0.002804304939,751.0600586,0.006373273674,751.0600586,0.005238638259,751.0600586,0.002931621624,751.0600586,0.006719159428,751.0600586,0.005622875411,751.0600586,0.004575208295,751.0600586,0.003895211732,751.0600586,0.0117833931,751.0600586,0.01511031203,751.0600586,0.007086448371,751.0600586,0.0216005668,751.0600586,0.01887839288,
750.0686646,0.002833902836,750.0686646,0.003805762855,750.0686646,0.006745554972,750.0686646,0.005086206365,750.0686646,0.006665978581,750.0686646,0.006552015897,750.0686646,0.005818125792,750.0686646,0.00633163983,750.0686646,0.00640148716,750.0686646,0.01162152179,750.0686646,0.01411801297,750.0686646,0.006907301955,750.0686646,0.02325309813,750.0686646,0.01410060469,
748.9352417,-0.0004583538685,748.9352417,0.004376776982,748.9352417,0.005421265028,748.9352417,0.002711798064,748.9352417,0.001172377495,748.9352417,0.004666935187,748.9352417,0.006152095739,748.9352417,0.005206858739,748.9352417,0.003892443143,748.9352417,0.01179639995,748.9352417,0.007096684072,748.9352417,0.006442786194,748.9352417,0.02076758258,748.9352417,0.01572908461,
747.9431152,-0.001068344922,747.9431152,0.002421771176,747.9431152,0.007011834532,747.9431152,0.003429312725,747.9431152,0.006128466222,747.9431152,0.004938410129,747.9431152,0.00447622966,747.9431152,0.006050840952,747.9431152,0.002073775744,747.9431152,0.0151553154,747.9431152,0.01579946652,747.9431152,0.007606075611,747.9431152,0.02202880941,747.9431152,0.02089696378,
746.9506226,0.00211125752,746.9506226,0.0007323616883,746.9506226,0.008451438509,746.9506226,0.006011206191,746.9506226,0.006955251563,746.9506226,0.006964957342,746.9506226,0.008010000922,746.9506226,0.006801795214,746.9506226,0.007350909989,746.9506226,0.01530952659,746.9506226,0.01580862142,746.9506226,0.008295421489,746.9506226,0.0223065652,746.9506226,0.01892822422,
745.9577637,-0.001578553231,745.9577637,-0.001413865597,745.9577637,0.007261115126,745.9577637,0.004081873689,745.9577637,0.005777200684,745.9577637,0.005865692627,745.9577637,0.008812666871,745.9577637,0.006890943274,745.9577637,0.006158449221,745.9577637,0.01330677234,745.9577637,0.01596161537,745.9577637,0.008490530774,745.9577637,0.02200291306,745.9577637,0.01821616478,
744.9645386,-0.001419077511,744.9645386,0.001743056229,744.9645386,0.003458822845,744.9645386,0.002446761355,744.9645386,0.003525521606,744.9645386,0.003742336994,744.9645386,0.003435757244,744.9645386,0.004506360274,744.9645386,0.005269817542,744.9645386,0.01150771324,744.9645386,0.009121428244,744.9645386,0.004211499821,744.9645386,0.02138520218,744.9645386,0.01314761396,
743.9710083,0.001440688968,743.9710083,0.003160135122,743.9710083,0.009006819688,743.9710083,0.005073766224,743.9710083,0.003355115652,743.9710083,0.006429045461,743.9710083,0.00613090815,743.9710083,0.006623423193,743.9710083,0.003587793326,743.9710083,0.01726391353,743.9710083,0.01393212099,743.9710083,0.009371870197,743.9710083,0.02404949814,743.9710083,0.01879961789,
742.9771118,-0.0001230444614,742.9771118,0.002565198112,742.9771118,0.005284805316,742.9771118,0.004433051217,742.9771118,0.002672102768,742.9771118,0.005123975687,742.9771118,0.006631176919,742.9771118,0.005660481285,742.9771118,0.006594091654,742.9771118,0.01091567893,742.9771118,0.01404635236,742.9771118,0.007439828478,742.9771118,0.02086627111,742.9771118,0.01563732699,
741.9828491,-0.00215199613,741.9828491,0.002906603506,741.9828491,0.007831949741,741.9828491,0.004562024027,741.9828491,0.004902699497,741.9828491,0.005984173156,741.9828491,0.00629473757,741.9828491,0.006478440017,741.9828491,0.004777865484,741.9828491,0.01355376374,741.9828491,0.01116630808,741.9828491,0.006707250141,741.9828491,0.02386425622,741.9828491,0.01767498627,
740.9882202,0.001031044405,740.9882202,0.006361742038,740.9882202,0.007161259651,740.9882202,0.006201222073,740.9882202,0.006081501022,740.9882202,0.00509102596,740.9882202,0.004180396441,740.9882202,0.006174806971,740.9882202,0.009427103214,740.9882202,0.01317269541,740.9882202,0.01546062715,740.9882202,0.00708102854,740.9882202,0.02437388897,740.9882202,0.01677783579,
739.9932251,-0.0005568125052,739.9932251,0.003623161232,739.9932251,0.002084518084,739.9932251,0.006200644188,739.9932251,0.006411286071,739.9932251,0.006703254301,739.9932251,0.005905077327,739.9932251,0.006280634087,739.9932251,0.008877418935,739.9932251,0.01397716254,739.9932251,0.0131685324,739.9932251,0.007844706066,739.9932251,0.02242727391,739.9932251,0.01623750292,
738.9979248,-0.002443530364,738.9979248,0.0017509053,738.9979248,0.005719073117,738.9979248,0.003640937619,738.9979248,0.002838566666,738.9979248,0.004063007887,738.9979248,0.004664318636,738.9979248,0.0007445488009,738.9979248,0.004075916018,738.9979248,0.01151201967,738.9979248,0.01442843024,738.9979248,0.006359483115,738.9979248,0.02673414722,738.9979248,0.01623871364,
738.0022583,0.0009891411755,738.0022583,0.003821039572,738.0022583,0.007891335525,738.0022583,0.003789624665,738.0022583,0.005507849157,738.0022583,0.004478374496,738.0022583,0.00504946243,738.0022583,0.004863562528,738.0022583,0.005589074921,738.0022583,0.0138161825,738.0022583,0.01370540354,738.0022583,0.007616165094,738.0022583,0.02350846492,738.0022583,0.0178376995,
737.0062866,-0.001473515294,737.0062866,0.005548145622,737.0062866,0.004675230011,737.0062866,0.004320091568,737.0062866,0.004610970616,737.0062866,0.00598293962,737.0062866,0.004790795036,737.0062866,0.0019375314,737.0062866,0.004673398566,737.0062866,0.01673328131,737.0062866,0.01258054655,737.0062866,0.004687135573,737.0062866,0.02173231915,737.0062866,0.01476517972,
